City,Brand,Model,Year,Body,Color,Engine,Engine Power,Fuel Type,Mileage,Gearbox,Transmission,Being new,Price
Bakı,Renault,Megane,2009,Universal,Qara,1.5 L,105 a.g.,Dizel,220 000 km,Mexaniki,Ön,Xeyr,12 600
Bakı,BMW,X5,2019,Offroader / SUV,Ağ,3.0 L,340 a.g.,Benzin,33 000 km,Avtomat,Arxa,Xeyr,75 000
Göyçay,LADA (VAZ),21011,1982,Sedan,Ağ,1.5 L,65 a.g.,Benzin,123 456 km,Mexaniki,Arxa,Xeyr,4 800
Sumqayıt,Mercedes,E 220,2014,Sedan,Qara,2.2 L,180 a.g.,Dizel,187 000 km,Avtomat,Arxa,Xeyr,24 500
Bakı,Hyundai,Elantra,2015,Sedan,Ağ,1.8 L,150 a.g.,Benzin,104 000 km,Avtomat,Ön,Xeyr,20 500
Bakı,Audi,Q7,2017,Offroader / SUV,Göy,2.0 L,252 a.g.,Benzin,232 000 km,Avtomat,Tam,Xeyr,38 500
Xırdalan,Mercedes,E 320,1996,Sedan,Gümüşü,3.2 L,224 a.g.,Benzin,248 000 km,Avtomat,Arxa,Xeyr,8 800
Bakı,Mercedes,ML 350,2013,Offroader / SUV,Ağ,3.5 L,306 a.g.,Benzin,180 000 km,Avtomat,Arxa,Xeyr,28 000
Bakı,BMW,760,2011,Sedan,Qara,6.0 L,544 a.g.,Benzin,135 000 km,Avtomat,Arxa,Xeyr,33 500
Gəncə,Kia,Ceed,2009,Universal,Gümüşü,1.6 L,115 a.g.,Dizel,157 200 km,Mexaniki,Ön,Xeyr,14 000
Bakı,Kia,Sorento,2013,Offroader / SUV,Yaş Asfalt,2.0 L,184 a.g.,Dizel,161 000 km,Avtomat,Ön,Xeyr,32 900
Bakı,LADA (VAZ),2107,2004,Sedan,Ağ,1.6 L,75 a.g.,Benzin,100 000 km,Mexaniki,Arxa,Xeyr,5 200
İmişli,Ford,Transit,2006,Furqon,Ağ,2.4 L,140 a.g.,Dizel,211 000 km,Mexaniki,Arxa,Xeyr,21 500
Bakı,Toyota,Corolla,2016,Hetçbek / Liftbek,Gümüşü,1.8 L,136 a.g.,Hibrid,113 000 km,Avtomat,Ön,Xeyr,14 900
Bakı,Toyota,Prius,2008,Hetçbek / Liftbek,Göy,1.5 L,76 a.g.,Hibrid,180 000 km,Avtomat,Ön,Xeyr,8 800
Bakı,Kia,Sorento,2003,Offroader / SUV,Ağ,2.5 L,140 a.g.,Dizel,213 000 km,Avtomat,Tam,Xeyr,14 800
Bakı,Ford,Edge,2017,Offroader / SUV,Göy,2.0 L,262 a.g.,Benzin,112 273 km,Avtomat,Tam,Xeyr,18 700
Bakı,BMW,320,2016,Sedan,Qara,2.0 L,245 a.g.,Benzin,55 000 km,Avtomat,Arxa,Xeyr,20 500
Bakı,Volkswagen,Caravelle,2016,Minivan,Qara,2.0 L,180 a.g.,Dizel,135 000 km,Avtomat,Ön,Xeyr,35 800
